id,word,pronunciation,part_of_speech,meaning_vi,example_en,example_vi,topic,level,image_url,collocations,synonyms,antonyms,created_at,updated_at,category,subcategory,lesson_unit
1,routine,/routine/,noun,thói quen,I use the word ‘routine’ in a real conversation.,Tôi dùng từ ‘routine’ trong một cuộc trò chuyện thực tế.,Daily Life,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
2,wake up,/wake·up/,verb,thức dậy,I use the word ‘wake up’ in a real conversation.,Tôi dùng từ ‘wake up’ trong một cuộc trò chuyện thực tế.,Daily Life,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
3,prepare,/prepare/,adjective,chuẩn bị,I use the word ‘prepare’ in a real conversation.,Tôi dùng từ ‘prepare’ trong một cuộc trò chuyện thực tế.,Daily Life,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
4,usually,/usually/,adverb,thường xuyên,I use the word ‘usually’ in a real conversation.,Tôi dùng từ ‘usually’ trong một cuộc trò chuyện thực tế.,Daily Life,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
5,tidy,/tidy/,noun,gọn gàng,I use the word ‘tidy’ in a real conversation.,Tôi dùng từ ‘tidy’ trong một cuộc trò chuyện thực tế.,Daily Life,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
6,relax,/relax/,verb,thư giãn,I use the word ‘relax’ in a real conversation.,Tôi dùng từ ‘relax’ trong một cuộc trò chuyện thực tế.,Daily Life,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
7,schedule,/schedule/,adjective,lịch trình,I use the word ‘schedule’ in a real conversation.,Tôi dùng từ ‘schedule’ trong một cuộc trò chuyện thực tế.,Daily Life,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
8,habit,/habit/,adverb,thói quen,I use the word ‘habit’ in a real conversation.,Tôi dùng từ ‘habit’ trong một cuộc trò chuyện thực tế.,Daily Life,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
9,subject,/subject/,verb,môn học,I use the word ‘subject’ in a real conversation.,Tôi dùng từ ‘subject’ trong một cuộc trò chuyện thực tế.,School,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
10,assignment,/assignment/,adjective,bài tập,I use the word ‘assignment’ in a real conversation.,Tôi dùng từ ‘assignment’ trong một cuộc trò chuyện thực tế.,School,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
11,revise,/revise/,adverb,ôn tập,I use the word ‘revise’ in a real conversation.,Tôi dùng từ ‘revise’ trong một cuộc trò chuyện thực tế.,School,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
12,grade,/grade/,noun,điểm số,I use the word ‘grade’ in a real conversation.,Tôi dùng từ ‘grade’ trong một cuộc trò chuyện thực tế.,School,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
13,lecture,/lecture/,verb,bài giảng,I use the word ‘lecture’ in a real conversation.,Tôi dùng từ ‘lecture’ trong một cuộc trò chuyện thực tế.,School,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
14,research,/research/,adjective,nghiên cứu,I use the word ‘research’ in a real conversation.,Tôi dùng từ ‘research’ trong một cuộc trò chuyện thực tế.,School,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
15,deadline,/deadline/,adverb,hạn chót,I use the word ‘deadline’ in a real conversation.,Tôi dùng từ ‘deadline’ trong một cuộc trò chuyện thực tế.,School,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
