word,pronunciation,part_of_speech,meaning_vi,example_en,example_vi,topic,level,image_url,collocations,synonyms,antonyms
basis,/'beisis/,n.,"Nền tảng, cơ sở, căn cứ",The manager didn't have any basis for firing the employee.,Người trưởng phòng không có bất kỳ cơ sở nào cho việc sa thải người nhân viên.,Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/b/a/basis.jpg,,,
benefit,/'benifit/,n.,Lợi ích,The discovery of oil brought many benefits to the country.,Việc phát hiện ra dầu hỏa mang đến nhiều lợi ích cho đất nước đó.,Salaries & Benefits,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_discov_ex1_56248d157f8b9a040dc65ecc.jpg,,,
compensate,/'kɔmpenseit/,v.,"Bù, đền bù, bồi thường","If you are injured in a traffic accident, you can be compensated for your losses.","Nếu bạn bị thương trong một tai nạn giao thông, bạn có thể được bồi thường mọi thiệt hại. ",Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/compensate1.png,,,
delicately,/ˈdelɪkət/,adv.,"‹một cách› tinh vi, tế nhị, lịch thiệp",The manager delicately asked about the health of his client.,Người trưởng phòng tế nhị hỏi thăm sức khỏe khách hàng của anh ta.,Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/delicately1.jpg,,,
eligible,/ˈɛlɪdʒɪb(ə)l/,adj.,"Thích hợp, đủ tư cách, đủ tiêu chuẩn; có thể chọn được",Who is eligible to become president?,Ai sẽ đủ tiêu chuẩn để trở thành tổng thống?,Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/e/l/eligible2.jpg,,,
flexibly,/ˈfleksəbl/,adv.,"‹một cách› mềm dẻo, linh hoạt, linh động","My manager thinks flexibly, enabling herself to solve many sticky problems.","Trưởng phòng của tôi suy nghĩ linh hoạt, cho phép bà tự giải quyết nhiều vấn đề khó chịu.",Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/f/l/flexibly.jpg,,,
negotiate,/ni'gouʃieit/,v.,"Thương lượng, đàm phán, điều đình",You must know what you want and what you can accept when you negotiate a salary.,Anh phải biết mình muốn gì và mình có thể chấp nhận gì khi thương lượng về lương bổng.,Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/n/e/negotiate1.png,,,
retire,/ri'taiə/,v.,Nghỉ hưu,She was forced to retire early from teaching because of ill health.,Cô bị buộc phải nghỉ hưu sớm trong việc giảng dạy vì lý do sức khỏe.,Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/retire1.png,,,
vested,/'vestid/,adj.,"Được trao, được ban","The day that Ms. Weng became fully vested in the retirement plan, she gave her two weeks' notice.","Ngày mà bà Weng được trao đầy đủ kế hoạch nghỉ hưu, bà đã nhận thông báo trước 2 tuần.",Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/v/e/vested1.jpg,,,
wage,/weidʤ/,n.,"Tiền công, tiền lương (thường trả theo giờ)",Hourly wages have increase by 20 percent over the last two years.,Tiền công theo giờ đã tăng 20% qua 2 năm vừa rồi.,Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/w/a/wage1.png,,,
be aware of,/bi: ə'weə əv/,v.,"Am hiểu, biết",Are you aware of the new employee's past work history?,Anh có biết về lịch sử làm việc trước đây của người nhân viên mới không?,Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/b/e/be_aware_of.jpg,,,
raise,/reiz/,v.,"Nâng lên, đưa lên",The government plans to raise taxes.,Chính phủ đang có kế hoạch tăng mức thuế.,Salaries & Benefits,B1,https://audio.tflat.vn/data/cache/images/300x225/r/a/raise1.png,,,
apprehensive,"/,æpri'hensiv/",adj.,"Sợ hãi, e sợ; hiểu rõ, cảm thấy rõ, tiếp thu nhanh",The mortgage lender was apprehensive about the company's ability to pay.,Người cho vay thế chấp e ngại về khả năng thanh toán của công ty.,Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/a/p/apprehensive2.jpg,,,
circumstance,/'sə:kəmstəns/,n.,"Trường hợp, hoàn cảnh, tình huống","Under the current economic circumstances, they will not be able to purchase the property.","Trong tình cảnh kinh tế hiện tại, họ không có khả năng mua sắm tài sản.",Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/c/i/circumstance2.png,,,
condition,/kənˈdɪʃən/,n.,"Điều kiện, tình trạng","Except for some minor repairs, the building is in very good condition.","Trừ một vài tu chữa nhỏ, tòa nhà đang ở trong tình trạng rất tốt.",Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/condition1.png,,,
due to,/djuː tuː/,perp.,"Bởi, vì, do, tại, nhờ có","Due to the low interest rates, good office space is difficult to find.","Vì mức lợi nhuận thấp, địa điểm văn phòng tốt rất khó tìm ra.",Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/d/u/due_to1.jpg,,,
fluctuate,/´flʌktʃu¸eit/,v.,"Dao động, thay đổi bất thường",No one is very comfortable making a large investment while the currency values fluctuate almost daily.,Không ai thấy thật yên tâm thực hiện một đầu tư lớn trong khi giá trị tiền tệ dao động như cơm bữa.,Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/f/l/fluctuate2.jpg,,,
get out of,/ɡɛt aʊt ɒv/,v.,"Thôi, mất, bỏ, từ bỏ, rời bỏ, tránh né, thoát khỏi",The company wanted to get out of the area before property values declined even further.,Công ty muốn từ bỏ khu vực trước khi giá trị tài sản suy sụp thậm chí còn nhiều hơn nữa.,Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/g/e/get_out_of1.jpg,,,
indicator,/'indikeitə/,n.,"Người chỉ, vật chỉ thị","If the economy is an accurate indicator, rental prices will increase rapidly in the next six months.","Nếu nền kinh tế là chỉ báo chính xác, tiền thuê (nhà) sẽ tăng nhanh chóng trong 6 tháng tới.",Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/indicator2.jpg,,,
lease,/li:s/,"n,v.","Khế ước, hợp đồng cho thuê",They decided to lease the property rather than buy it.,Họ đã quyết định đi thuê tài sản thay vì mua nó.,Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/l/e/lease1.jpg,,,
lock into,/lɒk ˈɪntʊ/,v.,"Ràng buộc chặt, không thể thay đổi","Before you lock yourself into something, check all your options.","Trước khi bạn tự ràng buộc mình vào cái gì, hãy xem xét mọi chọn lựa của mình.",Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/l/o/lock_into1.png,,,
occupy,/'ɔkjupai/,v.,"Chiếm giữ, ở, cư ngụ",Our company has occupied this office for more than five years.,Công ty chúng tôi đã ở văn phòng này hơn 5 năm.,Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/o/c/occupy1.jpg,,,
option,/'ɔpʃn/,n.,"Sự chọn lựa, quyền lựa chọn","With the real estate market so tight right now, you don't have that many options.","Với thị trường BĐS khan hiếm đến vậy vào lúc này, anh không có nhiều chọn lựa đến vậy.",Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/o/p/option2.jpg,,,
subject to,/ˈsʌbdʒɛkt tuː/,adj.,"Lệ thuộc vào, tùy theo",This contract is subject to all the laws and regulations of the state.,Hợp đồng này tuân thủ mọi luật lệ và nguyên tắc của nhà nước.,Renting and Leasing,B1,https://audio.tflat.vn/data/cache/images/300x225/s/u/subject_to1.jpg,,,
